Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,,matches played,innings played,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,best match bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls
74,0,0,1,Graeme Smith,South Africa,Pune Warriors,500000,79,79,6,2258,105,1,1,30.93,1819,124.13,1,11,280,48,0.443037975,35,0,,79,7,0,96,148,0,4,01-03-23,01-03-23,37,9.25,24,0,0,0
75,0,0,0,L Balaji,India,Kolkata Knight Riders,500000,56,12,5,27,15,0,0,3.85,40,67.5,0,0,1,1,0.142857143,8,0,,56,56,1,1091,1439,0,57,01-05-24,01-05-24,25.24,7.91,19.1,1,1,0
76,0,0,1,Lasith Malinga (retained),Sri Lanka,Mumbai Indians,500000,88,24,12,76,27,0,0,6.33,85,89.41,0,0,3,4,0.284090909,25,0,,88,86,1,1885,2111,1,114,01-05-13,01-05-13,18.51,6.71,16.5,1,1,0
77,0,0,0,Pragyan Ojha,India,Deccan Chargers,500000,67,19,10,32,11*,0,0,3.55,35,91.42,0,0,0,2,0.194029851,13,0,,67,66,1,1411,1638,1,83,01-04-21,01-04-21,19.73,6.96,17,1,0,0
78,0,0,0,Rahul Dravid,India,Rajasthan Royals,500000,66,59,6,1530,75*,0,1,28.86,1303,117.42,0,7,174,22,0.196969697,13,0,,66,-,0,-,-,0,-,-,-,0,-,-,-,-,-
79,0,0,0,RP Singh,India,Kochi,500000,78,36,17,93,18,0,0,4.89,113,82.3,0,0,4,2,0.384615385,30,0,,78,77,1,1704,2129,1,92,05-08-11,05-08-11,23.14,7.49,18.5,3,1,0
80,1,0,1,Daniel Vettori,New Zealand,Royal Challengers Bangalore,550000,70,47,14,692,57,0,1,20.96,578,119.72,0,1,59,14,0.371428571,26,0,,70,70,1,1592,1632,1,79,01-04-20,01-04-20,20.65,6.15,20.1,1,0,0
81,0,0,1,Dirk Nannes,Australia,Royal Challengers Bangalore,650000,117,17,12,42,12*,0,0,8.4,47,89.36,0,0,3,1,0.145299145,17,0,,117,115,1,2566,3022,1,153,01-05-40,01-05-40,19.75,7.06,16.7,5,1,0
82,0,0,1,Kevin Pietersen,England,Deccan Chargers,650000,62,61,7,1733,79,1,1,32.09,1249,138.75,0,9,171,50,0.387096774,24,0,,62,23,0,324,425,0,17,01-03-33,01-03-33,25,7.87,19,0,0,0
83,0,1,1,Tillakaratne Dilshan,Sri Lanka,Royal Challengers Bangalore,650000,88,85,11,1873,96*,0,1,25.31,1556,120.37,0,13,222,40,0.431818182,38,3,,88,43,0,505,599,0,18,01-03-23,01-03-23,33.27,7.11,28,0,0,0
84,0,0,0,Cheteshwar Pujara,India,Royal Challengers Bangalore,700000,25,17,3,304,45*,0,1,21.71,272,111.76,0,0,35,5,0.4,10,0,,25,-,0,-,-,0,-,-,-,0,-,-,-,-,-
85,0,0,1,Doug Bollinger,Australia,Chennai Super Kings,700000,48,4,3,23,16*,0,0,23,23,100,0,0,2,1,0.270833333,13,0,,48,47,1,1016,1249,0,54,01-04-13,01-04-13,23.12,7.37,18.8,1,0,0
86,1,1,1,Kumar Sangakkara,Sri Lanka,Deccan Chargers,700000,95,91,7,2583,94,1,1,30.75,2028,127.36,0,17,293,44,0.631578947,60,24,,95,-,0,-,-,0,-,-,-,0,-,-,-,-,-
87,0,0,0,Munaf Patel,India,Mumbai Indians,700000,48,10,5,37,23*,0,0,7.4,33,112.12,0,0,5,0,0.208333333,10,0,,48,48,1,997,1219,0,57,01-05-21,01-05-21,21.38,7.33,17.4,0,1,0
88,0,0,0,Venugopal Rao,India,Delhi Daredevils,700000,61,55,8,1072,71*,0,1,22.8,875,122.51,0,6,80,41,0.245901639,15,0,,61,21,0,282,406,0,8,01-02-23,01-02-23,50.75,8.63,35.2,0,0,0
89,0,0,1,David Warner,Australia,Delhi Daredevils,750000,105,105,5,2836,107*,0,1,28.36,2034,139.42,1,18,296,114,0.428571429,45,0,,105,-,0,-,-,0,-,-,-,0,-,-,-,-,-
90,0,0,0,Abhishek Nayar,India,Kings XI Punjab,800000,46,38,8,653,57,0,1,21.76,522,125.09,0,1,54,25,0.282608696,13,0,,46,19,0,241,348,0,9,01-03-13,01-03-13,38.66,8.66,26.7,0,0,0
91,0,0,0,Praveen Kumar,India,Kings XI Punjab,800000,69,38,12,342,76*,0,1,13.15,283,120.84,0,1,27,17,0.130434783,9,0,,69,69,1,1462,1853,0,61,01-03-18,01-03-18,30.37,7.6,23.9,0,0,0
92,0,0,1,Andrew Symonds,Australia,Mumbai Indians,850000,89,81,18,2115,117*,1,1,33.57,1422,148.73,2,12,190,83,0.471910112,42,0,,89,74,1,1225,1641,0,52,01-05-18,01-05-18,31.55,8.03,23.5,0,1,0
93,0,0,0,Ashish Nehra,India,Pune Warriors,850000,42,11,6,49,22*,0,0,9.8,50,98,0,0,3,3,0.357142857,15,0,,42,42,1,906,1130,0,50,01-03-13,01-03-13,22.6,7.48,18.1,0,0,0
94,0,0,0,R Ashwin,India,Chennai Super Kings,850000,52,15,5,52,11*,0,0,5.2,73,71.23,0,0,4,0,0.269230769,14,0,,52,51,1,1176,1232,0,67,01-04-18,01-04-18,18.38,6.28,17.5,1,0,0
